"idCatalogoCuenta","desCatalogoCuenta"
6031,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IV (ponderados al 0 por ciento)"
6032,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo IV (ponderados al 20 por ciento)"
6033,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo V"
6034,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda a lo establecido en el: Clasificadas en el Grupo VII-A "
6035,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IX (ponderados al 100 por ciento)"
6036,"Importe Positivo CONTRATOS ADELANTADOS (FORWARDS) Y FUTUROS DE VENTA DE DIVISAS"
6037,"Importe Positivo Clasificadas en el Grupo I (ponderados al 0 por ciento)"
6038,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo II"
6039,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo III"
6040,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IV (ponderados al 0 por ciento)"
6041,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo IV (ponderados al 20 por ciento)"
6042,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo V"
6043,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda a lo establecido en el: Clasificadas en el Grupo VII-A"
6044,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IX (ponderados al 100 por ciento)"
6045,"Importe Positivo CONTRATOS ADELANTADOS (FORWARDS) Y FUTUROS DE COMPRA DE TASAS DE INTERÉS"
6046,"Importe Positivo Clasificadas en el Grupo I (ponderados al 0 por ciento)"
6047,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo II"
6048,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo III"
6049,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IV (ponderados al 0 por ciento)"
6050,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo IV (ponderados al 20 por ciento)"
6051,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo V"
6052,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda a lo establecido en el: Clasificadas en el Grupo VII-A"
6053,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IX (ponderados al 100 por ciento)"
6054,"    Importe Positivo CONTRATOS ADELANTADOS (FORWARDS) Y FUTUROS DE VENTA DE TASAS DE INTERÉS"
6055,"    Importe Positivo Clasificadas en el Grupo I (ponderados al 0 por ciento)"
6056,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo II"
6057,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo III"
6058,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IV (ponderados al 0 por ciento)"
6059,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo IV (ponderados al 20 por ciento)"
6060,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo V"
6061,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda a lo establecido en el: Clasificadas en el Grupo VII-A"
6062,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IX (ponderados al 100 por ciento)"
6063,"Importe Positivo FORWARDS Y FUTUROS DE COMPRA DE SUBYACENTES DISTINTOS A TASAS DE INTERÉS Y DIVISAS"
6064,"Importe Positivo Clasificadas en el Grupo I (ponderados al 0 por ciento)"
6065,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo II"
6066,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo III"
6067,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IV (ponderados al 0 por ciento)"
6068,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo IV (ponderados al 20 por ciento)"
6069,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo V"
6070,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda a lo establecido en el: Clasificadas en el Grupo VII-A"
6071,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IX (ponderados al 100 por ciento)"
6072,"Importe Positivo FORWARDS Y FUTUROS DE VENTA DE SUBYACENTES DISTINTOS A TASAS DE INTERÉS Y DIVISAS"
6073,"Importe Positivo Clasificadas en el Grupo I (ponderados al 0 por ciento)"
6074,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo II"
6075,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo III"
6076,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IV (ponderados al 0 por ciento)"
6077,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo IV (ponderados al 20 por ciento)"
6078,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo V"
6079,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda a lo establecido en el: Clasificadas en el Grupo VII-A"
6080,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IX (ponderados al 100 por ciento)"
6081,"Importe Positivo PRÉSTAMOS DE VALORES ACTUANDO COMO PRESTAMISTA"
6082,"Importe Positivo Clasificadas en el Grupo I (ponderados al 0 por ciento)"
6083,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo II"
6084,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo III"
6085,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IV (ponderados al 0 por ciento)"
6086,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo IV (ponderados al 20 por ciento)"
6087,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo V"
6088,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda a lo establecido en el: Clasificadas en el Grupo VII-A"
6089,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IX (ponderados al 100 por ciento)"
6090,"Importe Positivo TENENCIA DE OPCIONES Y TÍTULOS OPCIONALES (WARRANTS) DE COMPRA"
6091,"Importe Positivo Clasificadas en el Grupo I (ponderados al 0 por ciento)"
6092,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo II"
6093,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo III"
6094,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IV (ponderados al 0 por ciento)"
6095,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo IV (ponderados al 20 por ciento)"
6096,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo V"
6097,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda a lo establecido en el: Clasificadas en el Grupo VII-A"
6098,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IX (ponderados al 100 por ciento)"
6099,"Importe Positivo TENENCIA DE OPCIONES Y TÍTULOS OPCIONALES (WARRANTS) DE VENTA"
6100,"Importe Positivo Clasificadas en el Grupo I (ponderados al 0 por ciento)"
6101,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo II"
6102,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo III"
6103,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IV (ponderados al 0 por ciento)"
6104,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo IV (ponderados al 20 por ciento)"
6105,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo V"
6106,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda a lo establecido en el: Clasificadas en el Grupo VII-A"
6107,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IX (ponderados al 100 por ciento)"
6108,"Importe Positivo INTERCAMBIO DE FLUJOS DE DINERO CORRESPONDIENTES A DERIVADOS DE RENDIMIENTO TOTAL"
6109,"Importe Positivo Clasificadas en el Grupo I (ponderados al 0 por ciento)"
6110,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo II"
6111,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo III"
6112,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IV (ponderados al 0 por ciento)"
6113,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo IV (ponderados al 20 por ciento)"
6114,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo V"
6115,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda a lo establecido en el: Clasificadas en el Grupo VII-A"
6116,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IX (ponderados al 100 por ciento)"
6117,"Importe Positivo INTERCAMBIO DE FLUJOS DE DINERO CORRESPONDIENTES A DERIVADOS DE RENDIMIENTO TOTAL"
6118,"Importe Positivo Clasificadas en el Grupo I (ponderados al 0 por ciento)"
6119,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo II"
6120,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo III"
6121,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IV (ponderados al 0 por ciento)"
6122,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo IV (ponderados al 20 por ciento)"
6123,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo V"
6124,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda a lo establecido en el: Clasificadas en el Grupo VII-A"
6125,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IX (ponderados al 100 por ciento)"
6126,"Importe Positivo OPERACIONES DE REPORTO Y DERIVADAS REALIZADAS POR PARTE DEL FONDO DE RESERVA DE LA INSTITUCIÓN"
6127,"Importe Positivo Clasificadas en el Grupo III"
6128,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IV (ponderados al 0 por ciento)"
6129,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo IV (ponderados al 20 por ciento)"
6130,"Operaciones con Importe positivo a favor de la Institución OPERACIONES DE COMPRA-VENTA FECHA VALOR DE DIVISAS Y VALORES"
6131,"Importe Positivo PRÉSTAMOS DE VALORES ACTUANDO COMO PRESTATARIO"
6132,"Importe Positivo Clasificadas en el Grupo I (ponderados al 0 por ciento)"
6133,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo II"
6134,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo III"
6135,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IV (ponderados al 0 por ciento)"
6136,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo IV (ponderados al 20 por ciento)"
6137,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo V"
6138,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda a lo establecido en el: Clasificadas en el Grupo VII-A"
6139,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IX (ponderados al 100 por ciento)"
7000," SECCIÓN RELATIVA AL CÁLCULO DEL REQUERIMIENTO UTILIZANDO EL MÉTODO ESTÁNDAR (CALIFICACIONES EXTERNAS)"
7002," APARTADO I.- TÍTULOS DE DEUDA EN MONEDA NACIONAL (M.N.) CON TASA DE RENDIMIENTO NOMINAL"
7003," APARTADO II.- TÍTULOS DE DEUDA EN UNIDADES DE INVERSIÓN (UDIS)"
7004," APARTADO III.- TÍTULOS DE DEUDA EN MONEDA EXTRANJERA CON TASA DE RENDIMIENTO NOMINAL"
7005," APARTADO IV.- TÍTULOS DE DEUDA CON OTRO RENDIMIENTO (POR EJEMPLO: REFERIDO AL DE UNA ACCIÓN"
7006," APARTADO V.- TÍTULOS DE DEUDA CON VINCULACIÓN CREDITICIA (CREDIT LINKED NOTES)"
7007," APARTADO VI.- TÍTULOS DE DEUDA RELATIVOS A LAS INVERSIONES DEL FONDO DE RESERVA DEL PERSONAL"
7010," SECCIÓN RELATIVA AL CÁLCULO DEL REQUERIMIENTO UTILIZANDO MÉTODOS BASADOS EN CALIFICACIONES INTERNAS"
7011," I.- TÍTULOS DE DEUDA EN MONEDA NACIONAL (M.N.) CON TASA DE RENDIMIENTO NOMINAL"
7012," II.- TÍTULOS DE DEUDA EN UNIDADES DE INVERSIÓN (UDIS)"
7013," III.- TÍTULOS DE DEUDA EN MONEDA EXTRANJERA CON TASA DE RENDIMIENTO NOMINAL"
7014," IV.- TÍTULOS DE DEUDA CON OTRO RENDIMIENTO (POR EJEMPLO: REFERIDO AL DE UNA ACCIÓN"
7015," V.- TÍTULOS DE DEUDA CON VINCULACIÓN CREDITICIA (CREDIT LINKED NOTES)"
9100," CUENTAS DEL CAPITAL"
9115,"Capital ganado  INSTRUMENTOS DE CAPITAL"
9120,"Instrumentos de Capital que cumplan con el anexo 1-S  cuyo plazo de amortización o de vencimiento es: INVERSIONES"
9125,"Empresas (cotizadas y no cotizadas) relacionadas con la institución en los términos de los artículos 73"
9130,"Reservas o Pérdidas Esperadas relativa a operaciones en las que se utilicen métodos de calificaciones internas para calcular el requerimiento de capital por riesgo de crédito: OTRA INFORMACIÓN"
9135,"Partidas a cargo provenientes de: CONCEPTOS TRANSITORIOS"
9140,"Generales EMISIÓN DE OBLIGACIONES SUBORDINADAS  (TRANSITORIO)"
9145,"De más de 1 año y hasta 2 años DATOS INFORMATIVOS"
9150,"Capital Neto sin instrumentos de capital bajo tratamiento transitorio DATOS INFORMATIVOS  (CÁLCULOS TRANSITORIOS)"
10050,"DEPOSITOS  BANCARIOS A  LA  VISTA De 1 a 7 días"
10059," DEPOSITOS  BANCARIOS A  LA  VISTA"
10100,"DEPOSITOS BANCARIOS A PLAZO De 1 a 7 días"
10102,"DEPOSITOS BANCARIOS A PLAZO De 8 días a 31 días"
10104,"DEPOSITOS BANCARIOS A PLAZO De 32 días a 92 días"
10106,"DEPOSITOS BANCARIOS A PLAZO De 93 días a 184 días"
10108,"DEPOSITOS BANCARIOS A PLAZO De 185 días a 366 días"
10110,"DEPOSITOS BANCARIOS A PLAZO De 367 días a 731 días"
10112,"DEPOSITOS BANCARIOS A PLAZO De 732 días a 1"
10114,"DEPOSITOS BANCARIOS A PLAZO De 1"
10116,"DEPOSITOS BANCARIOS A PLAZO De 1"
10118,"DEPOSITOS BANCARIOS A PLAZO De 1"
10120,"DEPOSITOS BANCARIOS A PLAZO De 2"
10122,"DEPOSITOS BANCARIOS A PLAZO De 3"
10124,"DEPOSITOS BANCARIOS A PLAZO De 5"
10126,"DEPOSITOS BANCARIOS A PLAZO Más de 7"
10129,"DEPOSITOS  BANCARIOS A  LA  VISTA DEPOSITOS BANCARIOS A PLAZO"
10150,"CARTERA DE CREDITOS (INCLUYE CARTERA VENCIDA: AMORTIZACIONES E INTERESES) AMORTIZACIONES E INTERESES) De 1 a 7 días"
10152,"CARTERA DE CREDITOS (INCLUYE CARTERA VENCIDA: AMORTIZACIONES E INTERESES) AMORTIZACIONES E INTERESES) De 8 días a 31 días"
10154,"CARTERA DE CREDITOS (INCLUYE CARTERA VENCIDA: AMORTIZACIONES E INTERESES) AMORTIZACIONES E INTERESES) De 32 días a 92 días"
10156,"CARTERA DE CREDITOS (INCLUYE CARTERA VENCIDA: AMORTIZACIONES E INTERESES) AMORTIZACIONES E INTERESES) De 93 días a 184 días"
10158,"CARTERA DE CREDITOS (INCLUYE CARTERA VENCIDA: AMORTIZACIONES E INTERESES) AMORTIZACIONES E INTERESES) De 185 días a 366 días"
10160,"CARTERA DE CREDITOS (INCLUYE CARTERA VENCIDA: AMORTIZACIONES E INTERESES) AMORTIZACIONES E INTERESES) De 367 días a 731 días"
10162,"CARTERA DE CREDITOS (INCLUYE CARTERA VENCIDA: AMORTIZACIONES E INTERESES) AMORTIZACIONES E INTERESES) De 732 días a 1"
10164,"CARTERA DE CREDITOS (INCLUYE CARTERA VENCIDA: AMORTIZACIONES E INTERESES) AMORTIZACIONES E INTERESES) De 1"
10166,"CARTERA DE CREDITOS (INCLUYE CARTERA VENCIDA: AMORTIZACIONES E INTERESES) AMORTIZACIONES E INTERESES) De 1"
10168,"CARTERA DE CREDITOS (INCLUYE CARTERA VENCIDA: AMORTIZACIONES E INTERESES) AMORTIZACIONES E INTERESES) De 1"
10170,"CARTERA DE CREDITOS (INCLUYE CARTERA VENCIDA: AMORTIZACIONES E INTERESES) AMORTIZACIONES E INTERESES) De 2"
10172,"CARTERA DE CREDITOS (INCLUYE CARTERA VENCIDA: AMORTIZACIONES E INTERESES) AMORTIZACIONES E INTERESES) De 3"
10174,"CARTERA DE CREDITOS (INCLUYE CARTERA VENCIDA: AMORTIZACIONES E INTERESES) AMORTIZACIONES E INTERESES) De 5"
10176,"CARTERA DE CREDITOS (INCLUYE CARTERA VENCIDA: AMORTIZACIONES E INTERESES) AMORTIZACIONES E INTERESES) Más de 7"
10179,"DEPOSITOS BANCARIOS A PLAZO CARTERA DE CREDITOS (INCLUYE CARTERA VENCIDA: AMORTIZACIONES E INTERESES) AMORTIZACIONES E INTERESES)"
10180,"CARTERA DE CREDITOS CEDIDA EN DESCUENTO POR LA INSTITUCION(CON RESPONSABILIDAD DE LA INSTITUCIÓN) De 1 a 7 días"
10181,"CARTERA DE CREDITOS CEDIDA EN DESCUENTO POR LA INSTITUCION(CON RESPONSABILIDAD DE LA INSTITUCIÓN) De 8 días a 31 días"
10182,"CARTERA DE CREDITOS CEDIDA EN DESCUENTO POR LA INSTITUCION(CON RESPONSABILIDAD DE LA INSTITUCIÓN) De 32 días a 92 días"
10183,"CARTERA DE CREDITOS CEDIDA EN DESCUENTO POR LA INSTITUCION(CON RESPONSABILIDAD DE LA INSTITUCIÓN) De 93 días a 184 días"
10184,"CARTERA DE CREDITOS CEDIDA EN DESCUENTO POR LA INSTITUCION(CON RESPONSABILIDAD DE LA INSTITUCIÓN) De 185 días a 366 días"
10185,"CARTERA DE CREDITOS CEDIDA EN DESCUENTO POR LA INSTITUCION(CON RESPONSABILIDAD DE LA INSTITUCIÓN) De 367 días a 731 días"
10186,"CARTERA DE CREDITOS CEDIDA EN DESCUENTO POR LA INSTITUCION(CON RESPONSABILIDAD DE LA INSTITUCIÓN) De 732 días a 1"
10187,"CARTERA DE CREDITOS CEDIDA EN DESCUENTO POR LA INSTITUCION(CON RESPONSABILIDAD DE LA INSTITUCIÓN) De 1"
10188,"CARTERA DE CREDITOS CEDIDA EN DESCUENTO POR LA INSTITUCION(CON RESPONSABILIDAD DE LA INSTITUCIÓN) De 1"
10189,"CARTERA DE CREDITOS CEDIDA EN DESCUENTO POR LA INSTITUCION(CON RESPONSABILIDAD DE LA INSTITUCIÓN) De 1"
10190,"CARTERA DE CREDITOS CEDIDA EN DESCUENTO POR LA INSTITUCION(CON RESPONSABILIDAD DE LA INSTITUCIÓN) De 2"
10191,"CARTERA DE CREDITOS CEDIDA EN DESCUENTO POR LA INSTITUCION(CON RESPONSABILIDAD DE LA INSTITUCIÓN) De 3"
10192,"CARTERA DE CREDITOS CEDIDA EN DESCUENTO POR LA INSTITUCION(CON RESPONSABILIDAD DE LA INSTITUCIÓN) De 5"
10193,"CARTERA DE CREDITOS CEDIDA EN DESCUENTO POR LA INSTITUCION(CON RESPONSABILIDAD DE LA INSTITUCIÓN) Más de 7"
10194,"CARTERA DE CREDITOS (INCLUYE CARTERA VENCIDA: AMORTIZACIONES E INTERESES) AMORTIZACIONES E INTERESES) CARTERA DE CREDITOS CEDIDA EN DESCUENTO POR LA INSTITUCION(CON RESPONSABILIDAD DE LA INSTITUCIÓN)"
10195,"MONEDA NACIONAL A RECIBIR POR VENTA DE DIVISAS (OPERACIONES FECHA VALOR 24"
10199,"CARTERA DE CREDITOS CEDIDA EN DESCUENTO POR LA INSTITUCION(CON RESPONSABILIDAD DE LA INSTITUCIÓN) MONEDA NACIONAL A RECIBIR POR VENTA DE DIVISAS (OPERACIONES FECHA VALOR 24"
10200,"MONEDA NACIONAL A RECIBIR POR VENTA DE VALORES (OPERACIONES FECHA VALOR 24"
10201,"MONEDA NACIONAL A RECIBIR POR VENTA DE DIVISAS (OPERACIONES FECHA VALOR 24"
10202,"MONEDA NACIONAL A RECIBIR POR VENTA DE VALORES (OPERACIONES FECHA VALOR 24"
10250,"MONEDA NACIONAL A RECIBIR POR REPORTOS"
10251,"MONEDA NACIONAL A RECIBIR POR VENTA DE VALORES (OPERACIONES FECHA VALOR 24"
10300,"VALORES  A  RECIBIR  POR COMPRA DE TITULOS (OPERACIONES FECHA VALOR 24"
10302,"VALORES  A  RECIBIR  POR COMPRA DE TITULOS (OPERACIONES FECHA VALOR 24"
10304,"VALORES  A  RECIBIR  POR COMPRA DE TITULOS (OPERACIONES FECHA VALOR 24"
10306,"VALORES  A  RECIBIR  POR COMPRA DE TITULOS (OPERACIONES FECHA VALOR 24"
10308,"VALORES  A  RECIBIR  POR COMPRA DE TITULOS (OPERACIONES FECHA VALOR 24"
10310,"VALORES  A  RECIBIR  POR COMPRA DE TITULOS (OPERACIONES FECHA VALOR 24"
10312,"VALORES  A  RECIBIR  POR COMPRA DE TITULOS (OPERACIONES FECHA VALOR 24"
10314,"VALORES  A  RECIBIR  POR COMPRA DE TITULOS (OPERACIONES FECHA VALOR 24"
10316,"VALORES  A  RECIBIR  POR COMPRA DE TITULOS (OPERACIONES FECHA VALOR 24"
10318,"VALORES  A  RECIBIR  POR COMPRA DE TITULOS (OPERACIONES FECHA VALOR 24"
10320,"VALORES  A  RECIBIR  POR COMPRA DE TITULOS (OPERACIONES FECHA VALOR 24"
10322,"VALORES  A  RECIBIR  POR COMPRA DE TITULOS (OPERACIONES FECHA VALOR 24"
10324,"VALORES  A  RECIBIR  POR COMPRA DE TITULOS (OPERACIONES FECHA VALOR 24"
10326,"VALORES  A  RECIBIR  POR COMPRA DE TITULOS (OPERACIONES FECHA VALOR 24"
10329,"MONEDA NACIONAL A RECIBIR POR REPORTOS"
10350,"VALORES A RECIBIR POR PRESTAMO DE TITULOS"
10352,"VALORES A RECIBIR POR PRESTAMO DE TITULOS"
10354,"VALORES A RECIBIR POR PRESTAMO DE TITULOS"
10356,"VALORES A RECIBIR POR PRESTAMO DE TITULOS"
10358,"VALORES A RECIBIR POR PRESTAMO DE TITULOS"
10360,"VALORES A RECIBIR POR PRESTAMO DE TITULOS"
10362,"VALORES A RECIBIR POR PRESTAMO DE TITULOS"
10364,"VALORES A RECIBIR POR PRESTAMO DE TITULOS"
10366,"VALORES A RECIBIR POR PRESTAMO DE TITULOS"
10368,"VALORES A RECIBIR POR PRESTAMO DE TITULOS"
10370,"VALORES A RECIBIR POR PRESTAMO DE TITULOS"
10372,"VALORES A RECIBIR POR PRESTAMO DE TITULOS"
10374,"VALORES A RECIBIR POR PRESTAMO DE TITULOS"
10376,"VALORES A RECIBIR POR PRESTAMO DE TITULOS"
10379,"VALORES  A  RECIBIR  POR COMPRA DE TITULOS (OPERACIONES FECHA VALOR 24"
10400,"TITULOS A RECIBIR POR REPORTOS"
10402,"TITULOS A RECIBIR POR REPORTOS"
10404,"TITULOS A RECIBIR POR REPORTOS"
10406,"TITULOS A RECIBIR POR REPORTOS"
10408,"TITULOS A RECIBIR POR REPORTOS"
10410,"TITULOS A RECIBIR POR REPORTOS"
10412,"TITULOS A RECIBIR POR REPORTOS"
10414,"TITULOS A RECIBIR POR REPORTOS"
10416,"TITULOS A RECIBIR POR REPORTOS"
10418,"TITULOS A RECIBIR POR REPORTOS"
10420,"TITULOS A RECIBIR POR REPORTOS"
10422,"TITULOS A RECIBIR POR REPORTOS"
10424,"TITULOS A RECIBIR POR REPORTOS"
10426,"TITULOS A RECIBIR POR REPORTOS"
